dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
validation,double_dqn,0.8674619812230513,0.3102597040241857,0.38479189814688325,0.8063051886444682,-0.6531957058043203,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
test,double_dqn,-0.049846700939791266,0.022060477511050447,0.3084595856732975,0.07151821027995423,-0.36235825945800026,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
train,double_dqn,3.391821691573795,0.3320836993874685,0.2731895998610828,1.2155795812005048,-0.3126894054774009,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,1.0410147735734463,0.37809073108905755,0.4385674611080137,0.8621039283986883,-0.6382198553910925,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
test,double_dqn,-0.0182867853411115,0.03491823256286408,0.2943004566233752,0.1186482445983764,-0.34323563527486,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
train,double_dqn,9.083477543070373e-05,0.03245869167188942,0.25125863047464986,0.12918438507195582,-0.47125812069385,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,0.2602208553993206,0.08727300829314855,0.15132427110949284,0.5767284233604596,-0.16868418943278973,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
test,double_dqn,-0.2824808619811693,-0.1515516734542134,0.0799192230831469,-1.8963106447686688,-0.28647887851350085,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
train,double_dqn,2.9346276980552033,0.3171727563070492,0.2995838708736623,1.0587110560461526,-0.345921259233249,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,1.3096320140851638,0.43557162019398277,0.44914366991502397,0.9697823867280396,-0.6868387842644382,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
test,double_dqn,0.18260102259074418,0.15719421413808243,0.35099404775435905,0.44785435862460493,-0.3420934544563652,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
